ttk_id,source_extraction_id,sandbox_version,weapon_hash,weapon_or_archetype,mode,resilience_tier,target_hp,weapon_parameter,wp_max_bonus_pct,wp_bonus_pct,crit_damage,body_damage,effective_crit_damage,effective_body_damage,rpm,burst_count,crit_required,body_required,optimal_ttk_ms,body_ttk_ms,body_forgiveness_count,body_forgiveness_pct,formula_confidence,db_apply,conditions,notes
TTK-2024-10-08-020,DMG-2024-10-08-022,update-8.1.0,,Lightweight Pulse Rifle,PvP,,230,100,0.05,0,31.45,,,,450,3,,,,,,,Needs Calculation,No,Body damage and burst cadence still required.,
TTK-2024-10-08-021,DMG-2024-10-08-023,update-8.1.0,,Adaptive Pulse Rifle,PvP,,230,100,0.05,0,36.3,22,,,390,3,,,,,,,Needs Calculation,No,Burst cadence required before final TTK.,
TTK-2024-10-08-022,DMG-2024-10-08-024,update-8.1.0,,Heavy Burst Pulse Rifle,PvP,,230,100,0.05,0,42.55,,,,324,2,,,,,,,Needs Calculation,No,Body damage and burst cadence still required.,
TTK-2024-10-08-023,DMG-2024-10-08-025,update-8.1.0,,High-Impact Pulse Rifle,PvP,,230,100,0.05,0,39.6,,,,340,3,,,,,,,Needs Calculation,No,Body damage and burst cadence still required.,
TTK-2024-10-08-024,DMG-2024-10-08-026,update-8.1.0,,Aggressive Pulse Rifle,PvP,,230,100,0.05,0,30.2,,,,450,4,,,,,,,Needs Calculation,No,Body damage and burst cadence still required.,
TTK-2024-10-08-025,DMG-2024-10-08-027,update-8.1.0,,Rapid-Fire Scout Rifle,PvP,,230,100,0.05,0,54.6,,,,260,1,,,,,,,Needs Calculation,No,Body damage still required.,
TTK-2024-10-08-026,DMG-2024-10-08-028,update-8.1.0,,Lightweight Scout Rifle,PvP,,230,100,0.05,0,64,,,,200,1,,,,,,,Needs Calculation,No,Body damage still required.,
TTK-2024-10-08-027,DMG-2024-10-08-029,update-8.1.0,,Precision Scout Rifle,PvP,,230,100,0.05,0,,38.5,,,180,1,,,,,,,Needs Calculation,No,Crit damage still required.,
TTK-2024-10-08-028,DMG-2024-10-08-030,update-8.1.0,,Aggressive Scout Rifle,PvP,,230,100,0.05,0,91.8,,,,120,1,,,,,,,Needs Calculation,No,Body damage still required.,
TTK-2024-10-08-029,DMG-2024-10-08-031,update-8.1.0,,High-Impact Scout Rifle,PvP,,230,100,0.05,0,84,,,,150,1,,,,,,,Needs Calculation,No,Body damage still required.,
TTK-2024-10-08-030,DMG-2024-10-08-032,update-8.1.0,,Lightweight Bow,PvP,,230,100,0.05,0,123.2,77,,,612,1,,,,,,,Needs Calculation,No,Draw time formula required instead of RPM formula.,
TTK-2024-10-08-031,DMG-2024-10-08-033,update-8.1.0,3698448090,Choir of One,PvP,,230,100,0.05,0,,,,,,,,,,,,,Verified,Ready,Hip-fire projectile damage against players increased by 10 percent.,
TTK-2025-05-06-001,DMG-2025-05-06-001,update-8.2.6,,High-Impact Auto Rifle,Both,,230,100,0.05,0,43.2,24,,,360,1,,,,,,,Needs Verification,No,Official 8.2.6 damage values captured; PvP scope and current sandbox chain must be reconciled before applying.,
TTK-2025-05-06-002,DMG-2025-05-06-002,update-8.2.6,,Precision Auto Rifle,Both,,230,100,0.05,0,34,20,,,450,1,,,,,,,Needs Verification,No,Official 8.2.6 damage values captured; PvP scope and current sandbox chain must be reconciled before applying.,
TTK-2025-05-06-003,DMG-2025-05-06-003,update-8.2.6,,Rapid-Fire Pulse Rifle,Both,,230,100,0.05,0,27.8,15,,,540,3,,,,,,,Needs Verification,No,Official 8.2.6 damage values captured; burst cadence and PvP scope still require verification.,
TTK-2025-05-06-004,DMG-2025-05-06-004,update-8.2.6,,Heavy Burst Slug Shotguns,Both,,230,100,0.05,0,,,,,,,,,,,,,Needs Verification,No,Official 8 percent scalar captured; slug profile and PvP scope need validation.,
TTK-2025-05-06-005,DMG-2025-05-06-005,update-8.2.6,,Heavy Burst Hand Cannon,Both,,230,100,0.05,0,,,,,257,2,,,,,,,Verified,No,ADS falloff scalar only; no direct base damage or TTK change.,
TTK-2024-08-06-001,DMG-2024-08-06-001,update-8.0.5,,Precision Bow,PvP,,230,100,0.05,0,130.5,90,,,,,,,,,,,Needs Calculation,No,Official PvP damage values captured; draw-time formula required instead of RPM formula.,
TTK-2024-06-04-001,DMG-2024-06-04-001,update-8.0.0.1,,Machine Guns,Both,,230,100,0.05,0,,,,,,,,,,,,,Needs Verification,No,Global scalar found; PvP applicability must be verified before applying.,
TTK-2024-06-04-002,DMG-2024-06-04-002,update-8.0.0.1,,Swords,Both,,230,100,0.05,0,,,,,,,,,,,,,Needs Verification,No,Global scalar found; PvP applicability and melee formula must be verified.,
TTK-2024-06-04-003,DMG-2024-06-04-003,update-8.0.0.1,,Chain Reaction Special weapons,Both,,230,100,0.05,0,,,,,,,,,,,,,Needs Verification,No,Perk explosion scalar only; do not apply to base weapon TTK.,
TTK-2024-06-04-004,DMG-2024-06-04-004,update-8.0.0.1,,Chain Reaction Heavy weapons,Both,,230,100,0.05,0,,,,,,,,,,,,,Needs Verification,No,Perk explosion scalar only; do not apply to base weapon TTK.,
TTK-2024-03-05-001,DMG-2024-03-05-001,update-7.3.5,,Crucible Guardian HP,PvP,,230,100,0.05,0,,,,,,,,,,,,,Verified,Ready,Target HP baseline is 230 after 7.3.5; weapon TTK rows should use 230.,
TTK-2024-03-05-002,DMG-2024-03-05-002,update-7.3.5,,Trace Rifles,PvP,,230,100,0.05,0,,,,,1000,1,,,,,,,Needs Calculation,No,Official 7.3.5 scalar captured; exact base and crit damage still required.,
TTK-2024-03-05-003,DMG-2024-03-05-003,update-7.3.5,,Shotguns,PvP,,230,100,0.05,0,,,,,,,,,,,,,Needs Calculation,No,Official 7.3.5 scalar captured; pellet or slug damage profile required.,
TTK-2024-03-05-004,DMG-2024-03-05-004,update-7.3.5,,Fusion Rifles,PvP,,230,100,0.05,0,,,,,,,,,,,,,Needs Calculation,No,Official 7.3.5 scalar captured; bolt count and charge timing required.,
TTK-2024-03-05-005,DMG-2024-03-05-005,update-7.3.5,,Glaive projectile,PvP,,230,100,0.05,0,,,,,,,,,,,,,Needs Calculation,No,Official 7.3.5 projectile scalar captured.,
TTK-2024-03-05-006,DMG-2024-03-05-006,update-7.3.5,,Glaive melee,PvP,,230,100,0.05,0,,,,,,,,,,,,,Needs Calculation,No,Official 7.3.5 melee scalar captured; not standard shot TTK.,
TTK-2024-03-05-007,DMG-2024-03-05-007,update-7.3.5,,Machine Guns,PvP,,230,100,0.05,0,,,,,,,,,,,,,Needs Calculation,No,Official 7.3.5 scalar captured; archetype split required.,
TTK-2024-03-05-008,DMG-2024-03-05-008,update-7.3.5,,Heavy Grenade Launcher,PvP,,230,100,0.05,0,,,,,,,,,,,,,Needs Calculation,No,Official 7.3.5 detonation scalar captured; impact split required.,
TTK-2024-03-05-009,DMG-2024-03-05-009,update-7.3.5,,Fighting Lion,PvP,,230,100,0.05,0,,,,,,,,,,,,,Needs Calculation,No,Official exotic PvP scalar captured; impact and detonation split required.,
TTK-2024-03-05-010,DMG-2024-03-05-010,update-7.3.5,,Devils Ruin beam,PvP,,230,100,0.05,0,,,,,300,1,,,,,,,Needs Calculation,No,Official beam scalar captured; charged beam profile required.,
TTK-2024-03-05-011,DMG-2024-03-05-011,update-7.3.5,,Forerunner,PvP,,230,100,0.05,0,,,,,200,1,,,,,,,Needs Calculation,No,Official exotic scalar captured; exact damage profile required.,
TTK-2023-12-19-001,DMG-2023-12-19-001,update-7.3.0.5,,Checkmate weapon damage tuning,Checkmate,,230,100,0.05,0,,,,,,,,,,,,,Needs Verification,No,Mode-specific tuning only; normal PvP Potential needs separate mode support.,
TTK-2023-11-28-001,DMG-2023-11-28-001,update-7.3.0,,Aggressive Glaive projectile,PvP,,230,100,0.05,0,,123,,,,,,,,,,,Needs Calculation,No,Official projectile damage value captured; current sandbox may supersede after 7.3.5.,
TTK-2023-11-28-002,DMG-2023-11-28-002,update-7.3.0,,Adaptive Glaive projectile,PvP,,230,100,0.05,0,,113,,,,,,,,,,,Needs Calculation,No,Official projectile damage value captured; current sandbox may supersede after 7.3.5.,
TTK-2023-11-28-003,DMG-2023-11-28-003,update-7.3.0,,Rapid-Fire Glaive projectile,PvP,,230,100,0.05,0,,101,,,,,,,,,,,Needs Calculation,No,Official projectile damage value captured; current sandbox may supersede after 7.3.5.,
TTK-2023-08-22-001,DMG-2023-08-22-001,update-7.2.0.1,,Aggressive Sidearm,Both,,230,100,0.05,0,,30,,,,,,,,,,,Needs Verification,No,Historical base damage row; PvP scope and current sandbox chain need verification.,
TTK-2023-04-18-001,DMG-2023-04-18-001,update-7.0.5,,Rapid-Fire Fusion Rifle,PvP,,230,100,0.05,0,260,28.9,,,,7,,,,,,,Needs Calculation,No,Official per-bolt and burst damage captured; charge-time and bolts-to-kill formula required.,
TTK-2023-04-18-002,DMG-2023-04-18-002,update-7.0.5,,Trace Rifles,PvP,,230,100,0.05,0,16.9,12.5,,,1000,1,,,,,,,Needs Calculation,No,Official special weapon damage captured; later sandbox changes must be reconciled before applying.,
TTK-2022-10-18-001,DMG-2022-10-18-001,update-6.2.5,,Precision Auto Rifle,PvP,,230,100,0.05,0,31,,,,450,1,,,,,,,Needs Calculation,No,Historical PvP value; current sandbox supersedes.,
TTK-2022-10-18-002,DMG-2022-10-18-002,update-6.2.5,,Adaptive Pulse Rifle,PvP,,230,100,0.05,0,31.4,,,,390,3,,,,,,,Needs Calculation,No,Historical PvP value; current sandbox supersedes.,
TTK-2022-10-18-003,DMG-2022-10-18-003,update-6.2.5,,High-Impact Scout Rifle,PvP,,230,100,0.05,0,70,40,,,150,1,,,,,,,Needs Calculation,No,Historical PvP value; current sandbox supersedes.,
TTK-2022-10-18-004,DMG-2022-10-18-004,update-6.2.5,,Precision SMG,PvP,,230,100,0.05,0,23.8,17,,,600,1,,,,,,,Needs Calculation,No,Historical PvP value; current sandbox supersedes.,
TTK-2022-10-18-005,DMG-2022-10-18-005,update-6.2.5,,Lightweight SMG,PvP,,230,100,0.05,0,17.9,10.85,,,900,1,,,,,,,Needs Calculation,No,Historical PvP value; current sandbox supersedes.,
TTK-2022-10-18-006,DMG-2022-10-18-006,update-6.2.5,3413074534,Lord of Wolves Release the Wolves,PvP,,230,100,0.05,0,,,,,,,,,,,,,Needs Calculation,No,Mode-specific exotic behavior; use weapon-specific model only.,
TTK-2022-08-23-001,DMG-2022-08-23-001,update-6.2.0,3549153978,Fighting Lion,Both,,230,100,0.05,0,,,,,,,,,,,,,Needs Verification,No,Historical exotic scalar; PvP scope should be verified before applying.,
TTK-2022-08-23-002,DMG-2022-08-23-002,update-6.2.0,3413074534,Lord of Wolves,PvP,,230,100,0.05,0,,35,,,,,,,,,,,Needs Calculation,No,Official body damage captured; burst model required.,
TTK-2022-08-23-003,DMG-2022-08-23-003,update-6.2.0,3413074534,Lord of Wolves Release the Wolves,PvP,,230,100,0.05,0,,44,,,,,,,,,,,Needs Calculation,No,Official Release the Wolves body damage captured; burst size and delay required.,
TTK-2022-08-23-004,DMG-2022-08-23-004,update-6.2.0,3654674561,Dead Mans Tale,PvP,,230,100,0.05,0,,,,,,,,,,,,,Verified,No,Perk damage removal only; base weapon damage unchanged.,
